currency,rate_to_usd,effective_date
USD,0.993057,2026-09-03
EUR,1.08567,2026-09-03
GBP,1.271,2026-09-03
EGP,0.021117,2026-09-03
USD,1.000607,2026-09-02
EUR,1.069212,2026-09-02
GBP,1.265534,2026-09-02
EGP,0.020798,2026-09-02
USD,1.008582,2026-09-01
EUR,1.08818,2026-09-01
GBP,1.278424,2026-09-01
EGP,0.020919,2026-09-01
USD,0.991159,2026-08-31
EUR,1.088165,2026-08-31
GBP,1.281353,2026-08-31
EGP,0.020826,2026-08-31
USD,0.99972,2026-08-30
EUR,1.070695,2026-08-30
GBP,1.276619,2026-08-30
EGP,0.021112,2026-08-30
USD,0.992568,2026-08-29
EUR,1.079466,2026-08-29
GBP,1.271265,2026-08-29
EGP,0.020901,2026-08-29
USD,1.007449,2026-08-28
EUR,1.07834,2026-08-28
GBP,1.26268,2026-08-28
EGP,0.021017,2026-08-28
USD,1.004599,2026-08-27
EUR,1.073545,2026-08-27
GBP,1.265218,2026-08-27
EGP,0.021208,2026-08-27
USD,1.002998,2026-08-26
EUR,1.078663,2026-08-26
GBP,1.270446,2026-08-26
EGP,0.020841,2026-08-26
USD,0.994494,2026-08-25
EUR,1.076503,2026-08-25
GBP,1.272243,2026-08-25
EGP,0.020887,2026-08-25
USD,0.994404,2026-08-24
EUR,1.070733,2026-08-24
GBP,1.27333,2026-08-24
EGP,0.020886,2026-08-24
USD,1.008108,2026-08-23
EUR,1.087768,2026-08-23
GBP,1.2591,2026-08-23
EGP,0.02089,2026-08-23
USD,1.00338,2026-08-22
EUR,1.073828,2026-08-22
GBP,1.260661,2026-08-22
EGP,0.021183,2026-08-22
USD,1.001421,2026-08-21
EUR,1.07941,2026-08-21
GBP,1.277229,2026-08-21
EGP,0.021129,2026-08-21
USD,0.993808,2026-08-20
EUR,1.071294,2026-08-20
GBP,1.268249,2026-08-20
EGP,0.020968,2026-08-20
USD,0.99934,2026-08-19
EUR,1.084948,2026-08-19
GBP,1.274403,2026-08-19
EGP,0.021203,2026-08-19
USD,0.991968,2026-08-18
EUR,1.077897,2026-08-18
GBP,1.265918,2026-08-18
EGP,0.021152,2026-08-18
USD,0.994973,2026-08-17
EUR,1.073309,2026-08-17
GBP,1.268695,2026-08-17
EGP,0.020967,2026-08-17
USD,0.995571,2026-08-16
EUR,1.074596,2026-08-16
GBP,1.280751,2026-08-16
EGP,0.020976,2026-08-16
USD,1.007227,2026-08-15
EUR,1.081087,2026-08-15
GBP,1.258585,2026-08-15
EGP,0.02121,2026-08-15
USD,1.006721,2026-08-14
EUR,1.09013,2026-08-14
GBP,1.28083,2026-08-14
EGP,0.021146,2026-08-14
USD,0.993326,2026-08-13
EUR,1.07969,2026-08-13
GBP,1.262729,2026-08-13
EGP,0.020958,2026-08-13
USD,0.991173,2026-08-12
EUR,1.077386,2026-08-12
GBP,1.282327,2026-08-12
EGP,0.020901,2026-08-12
USD,1.005681,2026-08-11
EUR,1.079028,2026-08-11
GBP,1.268044,2026-08-11
EGP,0.021192,2026-08-11
USD,1.009908,2026-08-10
EUR,1.081205,2026-08-10
GBP,1.275548,2026-08-10
EGP,0.020855,2026-08-10
USD,0.995934,2026-08-09
EUR,1.090124,2026-08-09
GBP,1.272011,2026-08-09
EGP,0.021018,2026-08-09
USD,1.00496,2026-08-08
EUR,1.070435,2026-08-08
GBP,1.272138,2026-08-08
EGP,0.021001,2026-08-08
USD,1.007054,2026-08-07
EUR,1.072601,2026-08-07
GBP,1.281704,2026-08-07
EGP,0.020824,2026-08-07
USD,0.993716,2026-08-06
EUR,1.082053,2026-08-06
GBP,1.27445,2026-08-06
EGP,0.020889,2026-08-06
USD,0.992398,2026-08-05
EUR,1.08843,2026-08-05
GBP,1.263554,2026-08-05
EGP,0.02104,2026-08-05
